Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2021-08-13,Brentford,Arsenal,73,79,73,82,73,80,74,77,38,41,24,23,273.3,613.05,2,0,H,1,0,H,8,22,3,4,12,8,2,5,0,0,0,0,1.89,1.02,0.95,0.86,2.12,0.66,16.11,5.77,4.0,3.4,1.95,4.0,3.5,1.95,3.8,3.4,2.05,4.05,3.46,2.05,4.0,3.4,1.9,4.1,3.4,2.0,3.94,3.33,2.13
E0,2021-08-14,Manchester United,Leeds,83,76,83,78,84,77,83,76,43,35,25,23,769.15,299.45,5,1,H,1,0,H,16,10,8,3,11,9,5,4,1,2,0,0,1.64,0.57,1.59,0.51,2.22,0.55,12.59,7.24,1.53,4.5,5.75,1.53,4.5,5.75,1.55,4.4,5.75,1.56,4.57,5.96,1.52,4.33,5.8,1.55,4.4,6.0,1.67,4.2,5.4
E0,2021-08-14,Burnley,Brighton,76,75,75,75,76,75,77,76,35,43,27,24,138.05,318.0,1,2,A,1,0,H,14,14,3,8,10,7,7,6,2,1,0,0,1.8,1.69,0.97,1.56,1.46,1.26,17.89,7.93,3.1,3.1,2.45,3.2,3.1,2.4,3.15,3.05,2.45,3.3,3.12,2.51,3.2,3.0,2.45,3.13,3.1,2.45,3.27,3.14,2.51
E0,2021-08-14,Chelsea,Crystal Palace,83,76,84,77,85,75,82,74,44,33,25,25,914.5,271.05,3,0,H,2,0,H,13,4,6,1,15,11,5,2,0,0,0,0,1.19,0.32,0.32,0.32,2.2,0.51,6.6,71.0,1.25,5.75,13.0,1.28,5.75,10.5,1.25,6.0,13.0,1.26,6.24,12.74,1.25,5.5,13.0,1.25,5.75,13.0,1.34,5.4,11.0
E0,2021-08-14,Everton,Southampton,79,76,80,76,79,76,79,76,42,33,25,25,479.05,274.3,3,1,H,0,1,A,14,6,6,3,13,15,6,8,2,0,0,0,2.39,0.58,2.25,0.51,2.63,0.25,6.87,5.59,1.9,3.5,4.0,1.95,3.5,3.9,1.95,3.45,3.95,2.01,3.56,4.1,1.95,3.4,4.0,1.95,3.4,4.1,2.05,3.45,4.07
E0,2021-08-14,Leicester,Wolverhampton Wanderers,80,78,82,78,81,79,79,78,40,38,25,24,526.549999,376.95,1,0,H,1,0,H,9,17,5,3,6,10,5,4,1,2,0,0,0.67,1.33,0.61,1.09,0.78,1.95,11.5,20.26,1.66,3.8,5.25,1.67,3.9,5.25,1.7,3.75,5.25,1.73,3.79,5.47,1.7,3.6,5.25,1.7,3.7,5.25,1.76,3.77,5.22
E0,2021-08-14,Watford,Aston Villa,75,78,75,79,74,77,74,77,47,44,25,24,156.2,487.75,3,2,H,2,0,H,13,11,7,2,18,13,2,4,3,1,0,0,1.35,1.14,1.22,0.26,1.48,1.2,14.43,6.5,3.1,3.2,2.37,3.25,3.3,2.3,3.05,3.25,2.4,3.18,3.31,2.47,3.2,3.1,2.38,3.1,3.25,2.38,3.68,3.35,2.21
E0,2021-08-14,Norwich,Liverpool,74,84,76,86,73,83,73,85,45,49,24,24,163.2,918.9,0,3,A,0,1,A,14,19,3,8,4,14,3,11,1,1,0,0,1.33,1.79,1.26,1.57,1.03,1.71,25.67,11.58,9.0,5.75,1.3,9.0,6.0,1.3,7.75,5.5,1.35,8.35,5.86,1.36,9.0,5.25,1.32,9.5,5.5,1.3,7.0,4.9,1.48
E0,2021-08-15,Newcastle United,West Ham,76,79,78,79,75,78,74,78,34,36,27,26,313.9,354.9,2,4,A,2,1,H,17,8,3,9,4,3,7,6,1,0,0,0,1.68,3.01,1.38,1.95,0.55,2.27,24.5,11.62,3.2,3.5,2.2,3.3,3.4,2.2,3.15,3.45,2.25,3.21,3.59,2.32,3.1,3.4,2.25,3.25,3.4,2.25,3.46,3.55,2.21
E0,2021-08-15,Tottenham,Manchester City,82,85,86,85,80,87,80,85,45,39,23,24,689.35,1000.0,1,0,H,0,0,D,13,18,3,4,11,8,3,11,2,1,0,0,1.06,2.11,0.4,1.36,0.65,2.13,17.29,6.14,5.5,4.2,1.6,5.25,4.25,1.6,5.25,4.1,1.63,5.56,4.09,1.67,5.5,4.0,1.6,5.5,4.0,1.62,5.97,4.25,1.61
